,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeELORating,AwayELORating,EloGap,HomeAttackingRating,HomeMidfieldRating,HomeDefenceRating,HomeOverallRating,AwayAttackingRating,AwayMidfieldRating,AwayDefenceRating,AwayOverallRating
0,0,12/09/2020,Fulham,Arsenal,,,,,,,,,,,,,,,,,,,1587.07666016,1794.42736816,-207.35070799999997,75,74,72,75,83,80,78,80
1,1,12/09/2020,Crystal Palace,Southampton,,,,,,,,,,,,,,,,,,,1677.1171875,1715.53210449,-38.41491698999994,79,76,75,77,77,76,76,76
2,2,12/09/2020,Liverpool,Leeds,,,,,,,,,,,,,,,,,,,1985.80444336,1620.08044434,365.72399902000006,89,84,86,85,76,73,73,73
3,3,13/09/2020,West Brom,Leicester,,,,,,,,,,,,,,,,,,,1589.27294922,1753.13513184,-163.86218261999986,72,74,73,73,81,79,79,79
4,4,12/09/2020,West Ham,Newcastle,,,,,,,,,,,,,,,,,,,1680.97546387,1672.83520508,8.140258790000189,79,78,76,78,78,77,76,77
5,5,13/09/2020,Tottenham,Everton,,,,,,,,,,,,,,,,,,,1799.95617676,1711.06237793,88.89379883000015,85,82,81,82,80,78,79,79
6,6,14/09/2020,Sheffield United,Wolves,,,,,,,,,,,,,,,,,,,1688.98425293,1773.7935790999998,-84.80932616999985,74,77,77,75,78,82,77,78
7,7,14/09/2020,Brighton,Chelsea,,,,,,,,,,,,,,,,,,,1649.12133789,1813.72729492,-164.60595703000013,77,74,74,76,85,83,81,82
8,8,19/09/2020,Everton,West Brom,,,,,,,,,,,,,,,,,,,1711.06237793,1589.27294922,121.7894287099998,80,78,79,79,72,74,73,73
9,9,19/09/2020,Leeds,Fulham,,,,,,,,,,,,,,,,,,,1620.08044434,1587.07666016,33.00378417999991,76,73,73,73,75,74,72,75
10,10,19/09/2020,Man United,Crystal Palace,,,,,,,,,,,,,,,,,,,1857.33276367,1677.1171875,180.21557617000008,84,82,81,82,79,76,75,77
11,11,19/09/2020,Arsenal,West Ham,,,,,,,,,,,,,,,,,,,1794.42736816,1680.97546387,113.4519042899999,83,80,78,80,79,78,76,78
12,12,20/09/2020,Southampton,Tottenham,,,,,,,,,,,,,,,,,,,1715.53210449,1799.95617676,-84.42407227000012,77,76,76,76,85,82,81,82
13,13,20/09/2020,Newcastle,Brighton,,,,,,,,,,,,,,,,,,,1672.83520508,1649.12133789,23.713867189999966,78,77,76,77,77,74,74,76
14,14,20/09/2020,Chelsea,Liverpool,,,,,,,,,,,,,,,,,,,1813.72729492,1985.80444336,-172.07714843999997,85,83,81,82,89,84,86,85
15,15,20/09/2020,Leicester,Burnley,,,,,,,,,,,,,,,,,,,1753.13513184,1717.92626953,35.20886231000009,81,79,79,79,77,76,76,76
16,16,21/09/2020,Aston Villa,Sheffield United,,,,,,,,,,,,,,,,,,,1613.68225098,1688.98425293,-75.30200194999998,76,75,74,76,74,77,77,75
17,17,21/09/2020,Wolves,Man City,,,,,,,,,,,,,,,,,,,1773.7935790999998,1963.19421387,-189.40063477000038,78,82,77,78,86,85,84,85
18,18,26/09/2020,Brighton,Man United,,,,,,,,,,,,,,,,,,,1649.12133789,1857.33276367,-208.21142578000013,77,74,74,76,84,82,81,82
19,19,26/09/2020,Crystal Palace,Everton,,,,,,,,,,,,,,,,,,,1677.1171875,1711.06237793,-33.94519042999991,79,76,75,77,80,78,79,79
20,20,26/09/2020,West Brom,Chelsea,,,,,,,,,,,,,,,,,,,1589.27294922,1813.72729492,-224.4543457,72,74,73,73,85,83,81,82
21,21,26/09/2020,Burnley,Southampton,,,,,,,,,,,,,,,,,,,1717.92626953,1715.53210449,2.3941650399999617,77,76,76,76,77,76,76,76
22,22,27/09/2020,Sheffield United,Leeds,,,,,,,,,,,,,,,,,,,1688.98425293,1620.08044434,68.90380858999994,74,77,77,75,76,73,73,73
23,23,27/09/2020,Tottenham,Newcastle,,,,,,,,,,,,,,,,,,,1799.95617676,1672.83520508,127.12097168000014,85,82,81,82,78,77,76,77
24,24,27/09/2020,Man City,Leicester,,,,,,,,,,,,,,,,,,,1963.19421387,1753.13513184,210.05908203000013,86,85,84,85,81,79,79,79
25,25,27/09/2020,West Ham,Wolves,,,,,,,,,,,,,,,,,,,1680.97546387,1773.7935790999998,-92.81811522999963,79,78,76,78,78,82,77,78
26,26,28/09/2020,Fulham,Aston Villa,,,,,,,,,,,,,,,,,,,1587.07666016,1613.68225098,-26.60559081999986,75,74,72,75,76,75,74,76
27,27,28/09/2020,Liverpool,Arsenal,,,,,,,,,,,,,,,,,,,1985.80444336,1794.42736816,191.37707520000004,89,84,86,85,83,80,78,80
28,28,03/10/2020,Chelsea,Crystal Palace,,,,,,,,,,,,,,,,,,,1813.72729492,1677.1171875,136.61010742000008,85,83,81,82,79,76,75,77
29,29,03/10/2020,Everton,Brighton,,,,,,,,,,,,,,,,,,,1711.06237793,1649.12133789,61.94104003999996,80,78,79,79,77,74,74,76
30,30,03/10/2020,Leeds,Man City,,,,,,,,,,,,,,,,,,,1620.08044434,1963.19421387,-343.1137695300001,76,73,73,73,86,85,84,85
31,31,03/10/2020,Newcastle,Burnley,,,,,,,,,,,,,,,,,,,1672.83520508,1717.92626953,-45.09106444999998,78,77,76,77,77,76,76,76
32,32,04/10/2020,Leicester,West Ham,,,,,,,,,,,,,,,,,,,1753.13513184,1680.97546387,72.15966796999987,81,79,79,79,79,78,76,78
33,33,04/10/2020,Southampton,West Brom,,,,,,,,,,,,,,,,,,,1715.53210449,1589.27294922,126.25915526999985,77,76,76,76,72,74,73,73
34,34,04/10/2020,Wolves,Fulham,,,,,,,,,,,,,,,,,,,1773.7935790999998,1587.07666016,186.7169189399997,78,82,77,78,75,74,72,75
35,35,04/10/2020,Arsenal,Sheffield United,,,,,,,,,,,,,,,,,,,1794.42736816,1688.98425293,105.44311523000009,83,80,78,80,74,77,77,75
36,36,04/10/2020,Man United,Tottenham,,,,,,,,,,,,,,,,,,,1857.33276367,1799.95617676,57.37658691000002,84,82,81,82,85,82,81,82
37,37,04/10/2020,Aston Villa,Liverpool,,,,,,,,,,,,,,,,,,,1613.68225098,1985.80444336,-372.1221923800002,76,75,74,76,89,84,86,85
38,38,17/10/2020,Everton,Liverpool,,,,,,,,,,,,,,,,,,,1711.06237793,1985.80444336,-274.74206543000014,80,78,79,79,89,84,86,85
39,39,17/10/2020,Chelsea,Southampton,,,,,,,,,,,,,,,,,,,1813.72729492,1715.53210449,98.19519043000014,85,83,81,82,77,76,76,76
40,40,17/10/2020,Man City,Arsenal,,,,,,,,,,,,,,,,,,,1963.19421387,1794.42736816,168.7668457100001,86,85,84,85,83,80,78,80
41,41,17/10/2020,Newcastle,Man United,,,,,,,,,,,,,,,,,,,1672.83520508,1857.33276367,-184.49755859000012,78,77,76,77,84,82,81,82
42,42,18/10/2020,Sheffield United,Fulham,,,,,,,,,,,,,,,,,,,1688.98425293,1587.07666016,101.90759276999985,74,77,77,75,75,74,72,75
43,43,18/10/2020,Crystal Palace,Brighton,,,,,,,,,,,,,,,,,,,1677.1171875,1649.12133789,27.995849610000054,79,76,75,77,77,74,74,76
44,44,18/10/2020,Tottenham,West Ham,,,,,,,,,,,,,,,,,,,1799.95617676,1680.97546387,118.98071288999996,85,82,81,82,79,78,76,78
45,45,18/10/2020,Leicester,Aston Villa,,,,,,,,,,,,,,,,,,,1753.13513184,1613.68225098,139.45288086000005,81,79,79,79,76,75,74,76
46,46,19/10/2020,West Brom,Burnley,,,,,,,,,,,,,,,,,,,1589.27294922,1717.92626953,-128.6533203099998,72,74,73,73,77,76,76,76
47,47,19/10/2020,Leeds,Wolves,,,,,,,,,,,,,,,,,,,1620.08044434,1773.7935790999998,-153.7131347599998,76,73,73,73,78,82,77,78
48,48,23/10/2020,Aston Villa,Leeds,,,,,,,,,,,,,,,,,,,1613.68225098,1620.08044434,-6.39819336000005,76,75,74,76,76,73,73,73
49,49,24/10/2020,West Ham,Man City,,,,,,,,,,,,,,,,,,,1680.97546387,1963.19421387,-282.21875,79,78,76,78,86,85,84,85
50,50,24/10/2020,Fulham,Crystal Palace,,,,,,,,,,,,,,,,,,,1587.07666016,1677.1171875,-90.04052733999994,75,74,72,75,79,76,75,77
51,51,24/10/2020,Man United,Chelsea,,,,,,,,,,,,,,,,,,,1857.33276367,1813.72729492,43.60546875,84,82,81,82,85,83,81,82
52,52,24/10/2020,Liverpool,Sheffield United,,,,,,,,,,,,,,,,,,,1985.80444336,1688.98425293,296.82019043000014,89,84,86,85,74,77,77,75
53,53,25/10/2020,Southampton,Everton,,,,,,,,,,,,,,,,,,,1715.53210449,1711.06237793,4.469726560000026,77,76,76,76,80,78,79,79
54,54,25/10/2020,Wolves,Newcastle,,,,,,,,,,,,,,,,,,,1773.7935790999998,1672.83520508,100.95837401999985,78,82,77,78,78,77,76,77
55,55,25/10/2020,Arsenal,Leicester,,,,,,,,,,,,,,,,,,,1794.42736816,1753.13513184,41.292236320000036,83,80,78,80,81,79,79,79
56,56,26/10/2020,Brighton,West Brom,,,,,,,,,,,,,,,,,,,1649.12133789,1589.27294922,59.84838866999985,77,74,74,76,72,74,73,73
57,57,26/10/2020,Burnley,Tottenham,,,,,,,,,,,,,,,,,,,1717.92626953,1799.95617676,-82.02990723000015,77,76,76,76,85,82,81,82
58,58,30/10/2020,Wolves,Crystal Palace,,,,,,,,,,,,,,,,,,,1773.7935790999998,1677.1171875,96.67639159999977,78,82,77,78,79,76,75,77
59,59,31/10/2020,Sheffield United,Man City,,,,,,,,,,,,,,,,,,,1688.98425293,1963.19421387,-274.2099609400002,74,77,77,75,86,85,84,85
60,60,31/10/2020,Burnley,Chelsea,,,,,,,,,,,,,,,,,,,1717.92626953,1813.72729492,-95.80102539000019,77,76,76,76,85,83,81,82
61,61,31/10/2020,Liverpool,West Ham,,,,,,,,,,,,,,,,,,,1985.80444336,1680.97546387,304.82897948999994,89,84,86,85,79,78,76,78
62,62,01/11/2020,Aston Villa,Southampton,,,,,,,,,,,,,,,,,,,1613.68225098,1715.53210449,-101.84985351,76,75,74,76,77,76,76,76
63,63,01/11/2020,Newcastle,Everton,,,,,,,,,,,,,,,,,,,1672.83520508,1711.06237793,-38.22717284999999,78,77,76,77,80,78,79,79
64,64,01/11/2020,Man United,Arsenal,,,,,,,,,,,,,,,,,,,1857.33276367,1794.42736816,62.90539551000007,84,82,81,82,83,80,78,80
65,65,01/11/2020,Tottenham,Brighton,,,,,,,,,,,,,,,,,,,1799.95617676,1649.12133789,150.83483887000008,85,82,81,82,77,74,74,76
66,66,02/11/2020,Fulham,West Brom,,,,,,,,,,,,,,,,,,,1587.07666016,1589.27294922,-2.1962890600000264,75,74,72,75,72,74,73,73
67,67,02/11/2020,Leeds,Leicester,,,,,,,,,,,,,,,,,,,1620.08044434,1753.13513184,-133.0546875,76,73,73,73,81,79,79,79
68,68,06/11/2020,Brighton,Burnley,,,,,,,,,,,,,,,,,,,1649.12133789,1717.92626953,-68.80493163999995,77,74,74,76,77,76,76,76
69,69,06/11/2020,Southampton,Newcastle,,,,,,,,,,,,,,,,,,,1715.53210449,1672.83520508,42.696899410000015,77,76,76,76,78,77,76,77
70,70,07/11/2020,Everton,Man United,,,,,,,,,,,,,,,,,,,1711.06237793,1857.33276367,-146.27038574000017,80,78,79,79,84,82,81,82
71,71,07/11/2020,Crystal Palace,Leeds,,,,,,,,,,,,,,,,,,,1677.1171875,1620.08044434,57.03674316000002,79,76,75,77,76,73,73,73
72,72,07/11/2020,Chelsea,Sheffield United,,,,,,,,,,,,,,,,,,,1813.72729492,1688.98425293,124.74304199000015,85,83,81,82,74,77,77,75
73,73,07/11/2020,West Ham,Fulham,,,,,,,,,,,,,,,,,,,1680.97546387,1587.07666016,93.89880371000004,79,78,76,78,75,74,72,75
74,74,08/11/2020,West Brom,Tottenham,,,,,,,,,,,,,,,,,,,1589.27294922,1799.95617676,-210.68322754,72,74,73,73,85,82,81,82
75,75,08/11/2020,Leicester,Wolves,,,,,,,,,,,,,,,,,,,1753.13513184,1773.7935790999998,-20.658447259999775,81,79,79,79,78,82,77,78
76,76,08/11/2020,Man City,Liverpool,,,,,,,,,,,,,,,,,,,1963.19421387,1985.80444336,-22.610229489999934,86,85,84,85,89,84,86,85
77,77,08/11/2020,Arsenal,Aston Villa,,,,,,,,,,,,,,,,,,,1794.42736816,1613.68225098,180.74511718000008,83,80,78,80,76,75,74,76
78,78,21/11/2020,Newcastle,Chelsea,,,,,,,,,,,,,,,,,,,1672.83520508,1813.72729492,-140.89208984000015,78,77,76,77,85,83,81,82
79,79,21/11/2020,Aston Villa,Brighton,,,,,,,,,,,,,,,,,,,1613.68225098,1649.12133789,-35.43908691000001,76,75,74,76,77,74,74,76
80,80,21/11/2020,Tottenham,Man City,,,,,,,,,,,,,,,,,,,1799.95617676,1963.19421387,-163.23803711000005,85,82,81,82,86,85,84,85
81,81,21/11/2020,Man United,West Brom,,,,,,,,,,,,,,,,,,,1857.33276367,1589.27294922,268.05981445,84,82,81,82,72,74,73,73
82,82,22/11/2020,Fulham,Everton,,,,,,,,,,,,,,,,,,,1587.07666016,1711.06237793,-123.98571776999985,75,74,72,75,80,78,79,79
83,83,22/11/2020,Sheffield United,West Ham,,,,,,,,,,,,,,,,,,,1688.98425293,1680.97546387,8.008789059999799,74,77,77,75,79,78,76,78
84,84,22/11/2020,Leeds,Arsenal,,,,,,,,,,,,,,,,,,,1620.08044434,1794.42736816,-174.34692382000003,76,73,73,73,83,80,78,80
85,85,22/11/2020,Liverpool,Leicester,,,,,,,,,,,,,,,,,,,1985.80444336,1753.13513184,232.66931152000006,89,84,86,85,81,79,79,79
86,86,23/11/2020,Burnley,Crystal Palace,,,,,,,,,,,,,,,,,,,1717.92626953,1677.1171875,40.8090820299999,77,76,76,76,79,76,75,77
87,87,23/11/2020,Wolves,Southampton,,,,,,,,,,,,,,,,,,,1773.7935790999998,1715.53210449,58.261474609999816,78,82,77,78,77,76,76,76
88,88,27/11/2020,Crystal Palace,Newcastle,,,,,,,,,,,,,,,,,,,1677.1171875,1672.83520508,4.281982420000077,79,76,75,77,78,77,76,77
89,89,28/11/2020,Brighton,Liverpool,,,,,,,,,,,,,,,,,,,1649.12133789,1985.80444336,-336.6831054700001,77,74,74,76,89,84,86,85
90,90,28/11/2020,Man City,Burnley,,,,,,,,,,,,,,,,,,,1963.19421387,1717.92626953,245.26794434000018,86,85,84,85,77,76,76,76
91,91,28/11/2020,Everton,Leeds,,,,,,,,,,,,,,,,,,,1711.06237793,1620.08044434,90.98193358999993,80,78,79,79,76,73,73,73
92,92,28/11/2020,West Brom,Sheffield United,,,,,,,,,,,,,,,,,,,1589.27294922,1688.98425293,-99.7113037099998,72,74,73,73,74,77,77,75
93,93,29/11/2020,Southampton,Man United,,,,,,,,,,,,,,,,,,,1715.53210449,1857.33276367,-141.80065918000014,77,76,76,76,84,82,81,82
94,94,29/11/2020,Chelsea,Tottenham,,,,,,,,,,,,,,,,,,,1813.72729492,1799.95617676,13.771118160000016,85,83,81,82,85,82,81,82
95,95,29/11/2020,Arsenal,Wolves,,,,,,,,,,,,,,,,,,,1794.42736816,1773.7935790999998,20.633789060000254,83,80,78,80,78,82,77,78
96,96,30/11/2020,Leicester,Fulham,,,,,,,,,,,,,,,,,,,1753.13513184,1587.07666016,166.0584716799999,81,79,79,79,75,74,72,75
97,97,30/11/2020,West Ham,Aston Villa,,,,,,,,,,,,,,,,,,,1680.97546387,1613.68225098,67.29321289000018,79,78,76,78,76,75,74,76
98,98,05/12/2020,Burnley,Everton,,,,,,,,,,,,,,,,,,,1717.92626953,1711.06237793,6.863891599999987,77,76,76,76,80,78,79,79
99,99,05/12/2020,Man City,Fulham,,,,,,,,,,,,,,,,,,,1963.19421387,1587.07666016,376.11755371,86,85,84,85,75,74,72,75
100,100,05/12/2020,West Ham,Man United,,,,,,,,,,,,,,,,,,,1680.97546387,1857.33276367,-176.35729979999996,79,78,76,78,84,82,81,82
101,101,05/12/2020,Chelsea,Leeds,,,,,,,,,,,,,,,,,,,1813.72729492,1620.08044434,193.64685058000006,85,83,81,82,76,73,73,73
102,102,06/12/2020,West Brom,Crystal Palace,,,,,,,,,,,,,,,,,,,1589.27294922,1677.1171875,-87.8442382799999,72,74,73,73,79,76,75,77
103,103,06/12/2020,Sheffield United,Leicester,,,,,,,,,,,,,,,,,,,1688.98425293,1753.13513184,-64.15087891000006,74,77,77,75,81,79,79,79
104,104,06/12/2020,Tottenham,Arsenal,,,,,,,,,,,,,,,,,,,1799.95617676,1794.42736816,5.528808600000048,85,82,81,82,83,80,78,80
105,105,06/12/2020,Liverpool,Wolves,,,,,,,,,,,,,,,,,,,1985.80444336,1773.7935790999998,212.01086426000032,89,84,86,85,78,82,77,78
106,106,06/12/2020,Brighton,Southampton,,,,,,,,,,,,,,,,,,,1649.12133789,1715.53210449,-66.41076659999999,77,74,74,76,77,76,76,76
107,107,11/12/2020,Leeds,West Ham,,,,,,,,,,,,,,,,,,,1620.08044434,1680.97546387,-60.895019530000134,76,73,73,73,79,78,76,78
108,108,12/12/2020,Wolves,Aston Villa,,,,,,,,,,,,,,,,,,,1773.7935790999998,1613.68225098,160.11132811999985,78,82,77,78,76,75,74,76
109,109,12/12/2020,Newcastle,West Brom,,,,,,,,,,,,,,,,,,,1672.83520508,1589.27294922,83.56225585999981,78,77,76,77,72,74,73,73
110,110,12/12/2020,Man United,Man City,,,,,,,,,,,,,,,,,,,1857.33276367,1963.19421387,-105.86145020000004,84,82,81,82,86,85,84,85
111,111,12/12/2020,Everton,Chelsea,,,,,,,,,,,,,,,,,,,1711.06237793,1813.72729492,-102.66491699000015,80,78,79,79,85,83,81,82
112,112,13/12/2020,Southampton,Sheffield United,,,,,,,,,,,,,,,,,,,1715.53210449,1688.98425293,26.547851560000023,77,76,76,76,74,77,77,75
113,113,13/12/2020,Crystal Palace,Tottenham,,,,,,,,,,,,,,,,,,,1677.1171875,1799.95617676,-122.83898926000006,79,76,75,77,85,82,81,82
114,114,13/12/2020,Fulham,Liverpool,,,,,,,,,,,,,,,,,,,1587.07666016,1985.80444336,-398.7277832,75,74,72,75,89,84,86,85
115,115,13/12/2020,Leicester,Brighton,,,,,,,,,,,,,,,,,,,1753.13513184,1649.12133789,104.01379395000004,81,79,79,79,77,74,74,76
116,116,13/12/2020,Arsenal,Burnley,,,,,,,,,,,,,,,,,,,1794.42736816,1717.92626953,76.50109863000013,83,80,78,80,77,76,76,76
117,117,15/12/2020,Wolves,Chelsea,,,,,,,,,,,,,,,,,,,1773.7935790999998,1813.72729492,-39.933715820000316,78,82,77,78,85,83,81,82
118,118,15/12/2020,Man City,West Brom,,,,,,,,,,,,,,,,,,,1963.19421387,1589.27294922,373.92126465,86,85,84,85,72,74,73,73
119,119,16/12/2020,Arsenal,Southampton,,,,,,,,,,,,,,,,,,,1794.42736816,1715.53210449,78.89526367000008,83,80,78,80,77,76,76,76
120,120,16/12/2020,Leicester,Everton,,,,,,,,,,,,,,,,,,,1753.13513184,1711.06237793,42.072753910000074,81,79,79,79,80,78,79,79
121,121,16/12/2020,Leeds,Newcastle,,,,,,,,,,,,,,,,,,,1620.08044434,1672.83520508,-52.75476073999993,76,73,73,73,78,77,76,77
122,122,16/12/2020,Fulham,Brighton,,,,,,,,,,,,,,,,,,,1587.07666016,1649.12133789,-62.04467772999988,75,74,72,75,77,74,74,76
123,123,16/12/2020,Liverpool,Tottenham,,,,,,,,,,,,,,,,,,,1985.80444336,1799.95617676,185.8482666,89,84,86,85,85,82,81,82
124,124,16/12/2020,West Ham,Crystal Palace,,,,,,,,,,,,,,,,,,,1680.97546387,1677.1171875,3.858276370000112,79,78,76,78,79,76,75,77
125,125,17/12/2020,Aston Villa,Burnley,,,,,,,,,,,,,,,,,,,1613.68225098,1717.92626953,-104.24401854999996,76,75,74,76,77,76,76,76
126,126,17/12/2020,Sheffield United,Man United,,,,,,,,,,,,,,,,,,,1688.98425293,1857.33276367,-168.34851074000017,74,77,77,75,84,82,81,82
127,127,19/12/2020,Crystal Palace,Liverpool,,,,,,,,,,,,,,,,,,,1677.1171875,1985.80444336,-308.68725586000005,79,76,75,77,89,84,86,85
128,128,19/12/2020,Southampton,Man City,,,,,,,,,,,,,,,,,,,1715.53210449,1963.19421387,-247.66210938000015,77,76,76,76,86,85,84,85
129,129,19/12/2020,Everton,Arsenal,,,,,,,,,,,,,,,,,,,1711.06237793,1794.42736816,-83.36499023000009,80,78,79,79,83,80,78,80
130,130,19/12/2020,Newcastle,Fulham,,,,,,,,,,,,,,,,,,,1672.83520508,1587.07666016,85.75854491999985,78,77,76,77,75,74,72,75
131,131,20/12/2020,Brighton,Sheffield United,,,,,,,,,,,,,,,,,,,1649.12133789,1688.98425293,-39.86291503999996,77,74,74,76,74,77,77,75
132,132,20/12/2020,Tottenham,Leicester,,,,,,,,,,,,,,,,,,,1799.95617676,1753.13513184,46.82104492000008,85,82,81,82,81,79,79,79
133,133,20/12/2020,Man United,Leeds,,,,,,,,,,,,,,,,,,,1857.33276367,1620.08044434,237.25231933000006,84,82,81,82,76,73,73,73
134,134,20/12/2020,West Brom,Aston Villa,,,,,,,,,,,,,,,,,,,1589.27294922,1613.68225098,-24.40930175999984,72,74,73,73,76,75,74,76
135,135,21/12/2020,Burnley,Wolves,,,,,,,,,,,,,,,,,,,1717.92626953,1773.7935790999998,-55.867309569999854,77,76,76,76,78,82,77,78
136,136,21/12/2020,Chelsea,West Ham,,,,,,,,,,,,,,,,,,,1813.72729492,1680.97546387,132.75183104999996,85,83,81,82,79,78,76,78
137,137,26/12/2020,Leicester,Man United,,,,,,,,,,,,,,,,,,,1753.13513184,1857.33276367,-104.19763183000008,81,79,79,79,84,82,81,82
138,138,26/12/2020,Fulham,Southampton,,,,,,,,,,,,,,,,,,,1587.07666016,1715.53210449,-128.45544432999986,75,74,72,75,77,76,76,76
139,139,26/12/2020,Aston Villa,Crystal Palace,,,,,,,,,,,,,,,,,,,1613.68225098,1677.1171875,-63.434936520000065,76,75,74,76,79,76,75,77
140,140,26/12/2020,Arsenal,Chelsea,,,,,,,,,,,,,,,,,,,1794.42736816,1813.72729492,-19.299926760000066,83,80,78,80,85,83,81,82
141,141,26/12/2020,Man City,Newcastle,,,,,,,,,,,,,,,,,,,1963.19421387,1672.83520508,290.3590087900002,86,85,84,85,78,77,76,77
142,142,26/12/2020,Sheffield United,Everton,,,,,,,,,,,,,,,,,,,1688.98425293,1711.06237793,-22.078125,74,77,77,75,80,78,79,79
143,143,27/12/2020,Leeds,Burnley,,,,,,,,,,,,,,,,,,,1620.08044434,1717.92626953,-97.84582518999993,76,73,73,73,77,76,76,76
144,144,27/12/2020,West Ham,Brighton,,,,,,,,,,,,,,,,,,,1680.97546387,1649.12133789,31.854125980000163,79,78,76,78,77,74,74,76
145,145,27/12/2020,Liverpool,West Brom,,,,,,,,,,,,,,,,,,,1985.80444336,1589.27294922,396.53149414,89,84,86,85,72,74,73,73
146,146,27/12/2020,Wolves,Tottenham,,,,,,,,,,,,,,,,,,,1773.7935790999998,1799.95617676,-26.1625976600003,78,82,77,78,85,82,81,82
147,147,28/12/2020,Crystal Palace,Leicester,,,,,,,,,,,,,,,,,,,1677.1171875,1753.13513184,-76.01794433999999,79,76,75,77,81,79,79,79
148,148,28/12/2020,Chelsea,Aston Villa,,,,,,,,,,,,,,,,,,,1813.72729492,1613.68225098,200.0450439400001,85,83,81,82,76,75,74,76
149,149,29/12/2020,Brighton,Arsenal,,,,,,,,,,,,,,,,,,,1649.12133789,1794.42736816,-145.30603027000006,77,74,74,76,83,80,78,80
150,150,29/12/2020,Southampton,West Ham,,,,,,,,,,,,,,,,,,,1715.53210449,1680.97546387,34.556640619999826,77,76,76,76,79,78,76,78
151,151,29/12/2020,West Brom,Leeds,,,,,,,,,,,,,,,,,,,1589.27294922,1620.08044434,-30.807495119999885,72,74,73,73,76,73,73,73
152,152,29/12/2020,Burnley,Sheffield United,,,,,,,,,,,,,,,,,,,1717.92626953,1688.98425293,28.94201659999999,77,76,76,76,74,77,77,75
153,153,29/12/2020,Man United,Wolves,,,,,,,,,,,,,,,,,,,1857.33276367,1773.7935790999998,83.53918457000032,84,82,81,82,78,82,77,78
154,154,30/12/2020,Newcastle,Liverpool,,,,,,,,,,,,,,,,,,,1672.83520508,1985.80444336,-312.9692382800001,78,77,76,77,89,84,86,85
155,155,01/01/2021,Everton,West Ham,,,,,,,,,,,,,,,,,,,1711.06237793,1680.97546387,30.0869140599998,80,78,79,79,79,78,76,78
156,156,01/01/2021,Man United,Aston Villa,,,,,,,,,,,,,,,,,,,1857.33276367,1613.68225098,243.6505126900001,84,82,81,82,76,75,74,76
157,157,01/01/2021,Tottenham,Leeds,,,,,,,,,,,,,,,,,,,1799.95617676,1620.08044434,179.87573242000008,85,82,81,82,76,73,73,73
158,158,02/01/2021,Crystal Palace,Sheffield United,,,,,,,,,,,,,,,,,,,1677.1171875,1688.98425293,-11.867065429999911,79,76,75,77,74,77,77,75
159,159,02/01/2021,Brighton,Wolves,,,,,,,,,,,,,,,,,,,1649.12133789,1773.7935790999998,-124.6722412099998,77,74,74,76,78,82,77,78
160,160,02/01/2021,West Brom,Arsenal,,,,,,,,,,,,,,,,,,,1589.27294922,1794.42736816,-205.1544189399999,72,74,73,73,83,80,78,80
161,161,03/01/2021,Newcastle,Leicester,,,,,,,,,,,,,,,,,,,1672.83520508,1753.13513184,-80.29992676000006,78,77,76,77,81,79,79,79
162,162,03/01/2021,Chelsea,Man City,,,,,,,,,,,,,,,,,,,1813.72729492,1963.19421387,-149.46691895000004,85,83,81,82,86,85,84,85
163,163,04/01/2021,Southampton,Liverpool,,,,,,,,,,,,,,,,,,,1715.53210449,1985.80444336,-270.27233887000006,77,76,76,76,89,84,86,85
164,164,12/01/2021,Burnley,Man United,,,,,,,,,,,,,,,,,,,1717.92626953,1857.33276367,-139.40649414000018,77,76,76,76,84,82,81,82
165,165,12/01/2021,Sheffield United,Newcastle,,,,,,,,,,,,,,,,,,,1688.98425293,1672.83520508,16.149047849999988,74,77,77,75,78,77,76,77
166,166,12/01/2021,Wolves,Everton,,,,,,,,,,,,,,,,,,,1773.7935790999998,1711.06237793,62.73120116999985,78,82,77,78,80,78,79,79
167,167,13/01/2021,Tottenham,Fulham,,,,,,,,,,,,,,,,,,,1799.95617676,1587.07666016,212.87951659999996,85,82,81,82,75,74,72,75
168,168,13/01/2021,Man City,Brighton,,,,,,,,,,,,,,,,,,,1963.19421387,1649.12133789,314.07287598000016,86,85,84,85,77,74,74,76
169,169,14/01/2021,Arsenal,Crystal Palace,,,,,,,,,,,,,,,,,,,1794.42736816,1677.1171875,117.31018066,83,80,78,80,79,76,75,77
